food_id,food_name,category,serving_size,calories_kcal_est,protein_g_est,carbohydrates_g_est,fat_g_est,fiber_g_est,sugar_g_est,sodium_mg_est,calcium_mg_est,iron_mg_est,vitamin_c_mg_est,vitamin_a_ug_est,vegetarian,vegan,data_type,source_note
FERA01073,Green grapes,Fruits,100 g/ml,64.7,1.08,16.16,0.32,2.69,5.66,37.7,26.9,0.65,12.9,21.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01074,Green grapes,Fruits,150 g/ml,97,1.62,24.24,0.48,4.04,8.49,56.6,40.4,0.97,19.4,32.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01075,Green grapes,Fruits,200 g/ml,129.3,2.16,32.33,0.65,5.39,11.31,75.4,53.9,1.29,25.9,43.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01076,Strawberry,Fruits,25 g/ml,16.3,0.27,4.07,0.08,0.68,1.43,9.5,6.8,0.16,3.3,5.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01077,Strawberry,Fruits,50 g/ml,32.6,0.54,8.15,0.16,1.36,2.85,19,13.6,0.33,6.5,10.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01078,Strawberry,Fruits,100 g/ml,65.2,1.09,16.29,0.33,2.72,5.7,38,27.2,0.65,13,21.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01079,Strawberry,Fruits,150 g/ml,97.7,1.63,24.44,0.49,4.07,8.55,57,40.7,0.98,19.5,32.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01080,Strawberry,Fruits,200 g/ml,130.3,2.17,32.58,0.65,5.43,11.4,76,54.3,1.3,26.1,43.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01081,Blueberry,Fruits,25 g/ml,13,0.22,3.25,0.07,0.54,1.14,7.6,5.4,0.13,2.6,4.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01082,Blueberry,Fruits,50 g/ml,26,0.43,6.5,0.13,1.08,2.28,15.2,10.8,0.26,5.2,8.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01083,Blueberry,Fruits,100 g/ml,52,0.87,13.01,0.26,2.17,4.55,30.4,21.7,0.52,10.4,17.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01084,Blueberry,Fruits,150 g/ml,78,1.3,19.51,0.39,3.25,6.83,45.5,32.5,0.78,15.6,26,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01085,Blueberry,Fruits,200 g/ml,104.1,1.73,26.02,0.52,4.34,9.11,60.7,43.4,1.04,20.8,34.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01086,Raspberry,Fruits,25 g/ml,13,0.22,3.24,0.06,0.54,1.13,7.6,5.4,0.13,2.6,4.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01087,Raspberry,Fruits,50 g/ml,25.9,0.43,6.48,0.13,1.08,2.27,15.1,10.8,0.26,5.2,8.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01088,Raspberry,Fruits,100 g/ml,51.9,0.86,12.97,0.26,2.16,4.54,30.3,21.6,0.52,10.4,17.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01089,Raspberry,Fruits,150 g/ml,77.8,1.3,19.45,0.39,3.24,6.81,45.4,32.4,0.78,15.6,25.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01090,Raspberry,Fruits,200 g/ml,103.7,1.73,25.94,0.52,4.32,9.08,60.5,43.2,1.04,20.7,34.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01091,Blackberry,Fruits,25 g/ml,17.3,0.29,4.33,0.09,0.72,1.51,10.1,7.2,0.17,3.5,5.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01092,Blackberry,Fruits,50 g/ml,34.6,0.58,8.65,0.17,1.44,3.03,20.2,14.4,0.35,6.9,11.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01093,Blackberry,Fruits,100 g/ml,69.2,1.15,17.31,0.35,2.88,6.06,40.4,28.8,0.69,13.8,23.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01094,Blackberry,Fruits,150 g/ml,103.9,1.73,25.96,0.52,4.33,9.09,60.6,43.3,1.04,20.8,34.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01095,Blackberry,Fruits,200 g/ml,138.5,2.31,34.62,0.69,5.77,12.12,80.8,57.7,1.38,27.7,46.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01096,Kiwi,Fruits,25 g/ml,14.4,0.24,3.61,0.07,0.6,1.26,8.4,6,0.14,2.9,4.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01097,Kiwi,Fruits,50 g/ml,28.9,0.48,7.22,0.14,1.2,2.53,16.9,12,0.29,5.8,9.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01098,Kiwi,Fruits,100 g/ml,57.8,0.96,14.45,0.29,2.41,5.06,33.7,24.1,0.58,11.6,19.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01099,Kiwi,Fruits,150 g/ml,86.7,1.44,21.67,0.43,3.61,7.58,50.6,36.1,0.87,17.3,28.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01100,Kiwi,Fruits,200 g/ml,115.6,1.93,28.89,0.58,4.82,10.11,67.4,48.2,1.16,23.1,38.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01101,Pear,Fruits,25 g/ml,13.9,0.23,3.48,0.07,0.58,1.22,8.1,5.8,0.14,2.8,4.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01102,Pear,Fruits,50 g/ml,27.9,0.46,6.96,0.14,1.16,2.44,16.2,11.6,0.28,5.6,9.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01103,Pear,Fruits,100 g/ml,55.7,0.93,13.93,0.28,2.32,4.87,32.5,23.2,0.56,11.1,18.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01104,Pear,Fruits,150 g/ml,83.6,1.39,20.89,0.42,3.48,7.31,48.7,34.8,0.84,16.7,27.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01105,Pear,Fruits,200 g/ml,111.4,1.86,27.85,0.56,4.64,9.75,65,46.4,1.11,22.3,37.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01106,Peach,Fruits,25 g/ml,14.9,0.25,3.73,0.07,0.62,1.31,8.7,6.2,0.15,3,5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01107,Peach,Fruits,50 g/ml,29.9,0.5,7.47,0.15,1.24,2.61,17.4,12.4,0.3,6,10,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01108,Peach,Fruits,100 g/ml,59.8,1,14.94,0.3,2.49,5.23,34.9,24.9,0.6,12,19.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01109,Peach,Fruits,150 g/ml,89.6,1.49,22.41,0.45,3.73,7.84,52.3,37.3,0.9,17.9,29.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01110,Peach,Fruits,200 g/ml,119.5,1.99,29.88,0.6,4.98,10.46,69.7,49.8,1.2,23.9,39.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01111,Plum,Fruits,25 g/ml,15.9,0.26,3.97,0.08,0.66,1.39,9.3,6.6,0.16,3.2,5.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01112,Plum,Fruits,50 g/ml,31.8,0.53,7.94,0.16,1.32,2.78,18.5,13.2,0.32,6.4,10.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01113,Plum,Fruits,100 g/ml,63.5,1.06,15.88,0.32,2.65,5.56,37.1,26.5,0.64,12.7,21.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01114,Plum,Fruits,150 g/ml,95.3,1.59,23.82,0.48,3.97,8.34,55.6,39.7,0.95,19.1,31.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01115,Plum,Fruits,200 g/ml,127,2.12,31.76,0.64,5.29,11.12,74.1,52.9,1.27,25.4,42.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01116,Apricot,Fruits,25 g/ml,17.5,0.29,4.37,0.09,0.73,1.53,10.2,7.3,0.17,3.5,5.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01117,Apricot,Fruits,50 g/ml,34.9,0.58,8.73,0.17,1.46,3.06,20.4,14.6,0.35,7,11.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01118,Apricot,Fruits,100 g/ml,69.8,1.16,17.46,0.35,2.91,6.11,40.7,29.1,0.7,14,23.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01119,Apricot,Fruits,150 g/ml,104.8,1.75,26.19,0.52,4.37,9.17,61.1,43.7,1.05,21,34.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01120,Apricot,Fruits,200 g/ml,139.7,2.33,34.92,0.7,5.82,12.22,81.5,58.2,1.4,27.9,46.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01121,Cherry,Fruits,25 g/ml,13.8,0.23,3.46,0.07,0.58,1.21,8.1,5.8,0.14,2.8,4.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01122,Cherry,Fruits,50 g/ml,27.7,0.46,6.92,0.14,1.15,2.42,16.2,11.5,0.28,5.5,9.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01123,Cherry,Fruits,100 g/ml,55.4,0.92,13.85,0.28,2.31,4.85,32.3,23.1,0.55,11.1,18.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01124,Cherry,Fruits,150 g/ml,83.1,1.38,20.77,0.42,3.46,7.27,48.5,34.6,0.83,16.6,27.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01125,Cherry,Fruits,200 g/ml,110.8,1.85,27.69,0.55,4.62,9.69,64.6,46.2,1.11,22.2,36.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01126,Fig,Fruits,25 g/ml,17.3,0.29,4.32,0.09,0.72,1.51,10.1,7.2,0.17,3.5,5.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01127,Fig,Fruits,50 g/ml,34.6,0.58,8.65,0.17,1.44,3.03,20.2,14.4,0.35,6.9,11.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01128,Fig,Fruits,100 g/ml,69.2,1.15,17.29,0.35,2.88,6.05,40.4,28.8,0.69,13.8,23.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01129,Fig,Fruits,150 g/ml,103.8,1.73,25.94,0.52,4.32,9.08,60.5,43.2,1.04,20.8,34.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01130,Fig,Fruits,200 g/ml,138.4,2.31,34.59,0.69,5.76,12.11,80.7,57.6,1.38,27.7,46.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01131,Dates,Fruits,25 g/ml,12.4,0.21,3.11,0.06,0.52,1.09,7.3,5.2,0.12,2.5,4.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01132,Dates,Fruits,50 g/ml,24.9,0.41,6.22,0.12,1.04,2.18,14.5,10.4,0.25,5,8.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01133,Dates,Fruits,100 g/ml,49.7,0.83,12.43,0.25,2.07,4.35,29,20.7,0.5,9.9,16.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01134,Dates,Fruits,150 g/ml,74.6,1.24,18.65,0.37,3.11,6.53,43.5,31.1,0.75,14.9,24.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01135,Dates,Fruits,200 g/ml,99.5,1.66,24.87,0.5,4.14,8.7,58,41.4,0.99,19.9,33.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01136,Dried dates,Fruits,25 g/ml,15.3,0.25,3.82,0.08,0.64,1.34,8.9,6.4,0.15,3.1,5.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01137,Dried dates,Fruits,50 g/ml,30.6,0.51,7.65,0.15,1.27,2.68,17.8,12.7,0.31,6.1,10.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01138,Dried dates,Fruits,100 g/ml,61.2,1.02,15.3,0.31,2.55,5.35,35.7,25.5,0.61,12.2,20.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01139,Dried dates,Fruits,150 g/ml,91.8,1.53,22.95,0.46,3.82,8.03,53.5,38.2,0.92,18.4,30.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01140,Dried dates,Fruits,200 g/ml,122.4,2.04,30.6,0.61,5.1,10.71,71.4,51,1.22,24.5,40.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01141,Raisins,Fruits,25 g/ml,15.7,0.26,3.93,0.08,0.66,1.38,9.2,6.6,0.16,3.1,5.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01142,Raisins,Fruits,50 g/ml,31.4,0.52,7.86,0.16,1.31,2.75,18.3,13.1,0.31,6.3,10.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01143,Raisins,Fruits,100 g/ml,62.9,1.05,15.72,0.31,2.62,5.5,36.7,26.2,0.63,12.6,21,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01144,Raisins,Fruits,150 g/ml,94.3,1.57,23.59,0.47,3.93,8.25,55,39.3,0.94,18.9,31.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01145,Raisins,Fruits,200 g/ml,125.8,2.1,31.45,0.63,5.24,11.01,73.4,52.4,1.26,25.2,41.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01146,Dried figs,Fruits,25 g/ml,12.9,0.21,3.22,0.06,0.54,1.13,7.5,5.4,0.13,2.6,4.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01147,Dried figs,Fruits,50 g/ml,25.7,0.43,6.44,0.13,1.07,2.25,15,10.7,0.26,5.1,8.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01148,Dried figs,Fruits,100 g/ml,51.5,0.86,12.87,0.26,2.15,4.51,30,21.5,0.51,10.3,17.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01149,Dried figs,Fruits,150 g/ml,77.2,1.29,19.31,0.39,3.22,6.76,45.1,32.2,0.77,15.4,25.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01150,Dried figs,Fruits,200 g/ml,103,1.72,25.74,0.51,4.29,9.01,60.1,42.9,1.03,20.6,34.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01151,Coconut,Fruits,25 g/ml,13.1,0.22,3.26,0.07,0.54,1.14,7.6,5.4,0.13,2.6,4.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01152,Coconut,Fruits,50 g/ml,26.1,0.44,6.53,0.13,1.09,2.29,15.2,10.9,0.26,5.2,8.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01153,Coconut,Fruits,100 g/ml,52.2,0.87,13.06,0.26,2.18,4.57,30.5,21.8,0.52,10.4,17.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01154,Coconut,Fruits,150 g/ml,78.3,1.31,19.59,0.39,3.26,6.86,45.7,32.6,0.78,15.7,26.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01155,Coconut,Fruits,200 g/ml,104.5,1.74,26.12,0.52,4.35,9.14,60.9,43.5,1.04,20.9,34.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01156,Tender coconut,Fruits,25 g/ml,14.6,0.24,3.64,0.07,0.61,1.27,8.5,6.1,0.15,2.9,4.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01157,Tender coconut,Fruits,50 g/ml,29.1,0.49,7.28,0.15,1.21,2.55,17,12.1,0.29,5.8,9.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01158,Tender coconut,Fruits,100 g/ml,58.3,0.97,14.56,0.29,2.43,5.1,34,24.3,0.58,11.7,19.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01159,Tender coconut,Fruits,150 g/ml,87.4,1.46,21.84,0.44,3.64,7.65,51,36.4,0.87,17.5,29.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01160,Tender coconut,Fruits,200 g/ml,116.5,1.94,29.13,0.58,4.85,10.19,68,48.5,1.17,23.3,38.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01161,Avocado,Fruits,25 g/ml,17.5,0.29,4.38,0.09,0.73,1.53,10.2,7.3,0.18,3.5,5.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01162,Avocado,Fruits,50 g/ml,35,0.58,8.76,0.18,1.46,3.07,20.4,14.6,0.35,7,11.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01163,Avocado,Fruits,100 g/ml,70.1,1.17,17.52,0.35,2.92,6.13,40.9,29.2,0.7,14,23.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01164,Avocado,Fruits,150 g/ml,105.1,1.75,26.28,0.53,4.38,9.2,61.3,43.8,1.05,21,35,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01165,Avocado,Fruits,200 g/ml,140.1,2.34,35.04,0.7,5.84,12.26,81.7,58.4,1.4,28,46.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01166,Jackfruit,Fruits,25 g/ml,15.5,0.26,3.88,0.08,0.65,1.36,9.1,6.5,0.16,3.1,5.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01167,Jackfruit,Fruits,50 g/ml,31,0.52,7.76,0.16,1.29,2.72,18.1,12.9,0.31,6.2,10.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01168,Jackfruit,Fruits,100 g/ml,62.1,1.03,15.52,0.31,2.59,5.43,36.2,25.9,0.62,12.4,20.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01169,Jackfruit,Fruits,150 g/ml,93.1,1.55,23.28,0.47,3.88,8.15,54.3,38.8,0.93,18.6,31,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01170,Jackfruit,Fruits,200 g/ml,124.1,2.07,31.04,0.62,5.17,10.86,72.4,51.7,1.24,24.8,41.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01171,Custard apple,Fruits,25 g/ml,17.3,0.29,4.33,0.09,0.72,1.52,10.1,7.2,0.17,3.5,5.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01172,Custard apple,Fruits,50 g/ml,34.7,0.58,8.67,0.17,1.44,3.03,20.2,14.4,0.35,6.9,11.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01173,Custard apple,Fruits,100 g/ml,69.4,1.16,17.34,0.35,2.89,6.07,40.5,28.9,0.69,13.9,23.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01174,Custard apple,Fruits,150 g/ml,104,1.73,26.01,0.52,4.33,9.1,60.7,43.3,1.04,20.8,34.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01175,Custard apple,Fruits,200 g/ml,138.7,2.31,34.68,0.69,5.78,12.14,80.9,57.8,1.39,27.7,46.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01176,Sapota,Fruits,25 g/ml,16.6,0.28,4.16,0.08,0.69,1.46,9.7,6.9,0.17,3.3,5.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01177,Sapota,Fruits,50 g/ml,33.3,0.55,8.32,0.17,1.39,2.91,19.4,13.9,0.33,6.7,11.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01178,Sapota,Fruits,100 g/ml,66.6,1.11,16.64,0.33,2.77,5.83,38.8,27.7,0.67,13.3,22.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA01179,Sapota,Fruits,150 g/ml,99.9,1.66,24.97,0.5,4.16,8.74,58.3,41.6,1,20,33.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
